Player,PlayerID,Squad,position,90s,Crs,Int,TklW,Crs_per90,Int_per90,TklW_per90,Crs_percentile,Int_percentile,TklW_percentile,Crs_median,Int_median,TklW_median
Nicolò Savona,e041497d,Nottingham,Right-Back,11.4,27,5,12,2.3684210526315788,0.4385964912280701,1.0526315789473684,58.2089552238806,5.970149253731343,34.32835820895522,2.233009708737864,1.0091743119266054,1.262135922330097
Timothy Castagne,197640fd,Fulham,Right-Back,20.5,48,28,24,2.341463414634146,1.3658536585365857,1.170731707317073,56.71641791044776,88.05970149253731,44.776119402985074,2.233009708737864,1.0091743119266054,1.262135922330097
Daniel Muñoz,778ef829,Crystal Palace,Right-Back,26.7,62,24,48,2.322097378277153,0.898876404494382,1.797752808988764,55.223880597014926,40.298507462686565,88.05970149253731,2.233009708737864,1.0091743119266054,1.262135922330097
Malo Gusto,d56b9520,Chelsea,Right-Back,25.1,58,30,23,2.310756972111553,1.195219123505976,0.9163346613545816,53.73134328358209,70.1492537313433,17.91044776119403,2.233009708737864,1.0091743119266054,1.262135922330097
Nathaniel Clyne,0442183b,Crystal Palace,Right-Back,6.6,15,7,9,2.272727272727273,1.0606060606060606,1.3636363636363638,52.23880597014925,56.71641791044776,64.17910447761194,2.233009708737864,1.0091743119266054,1.262135922330097
Conor Bradley,bbd67769,Liverpool,Right-Back,10.3,23,12,15,2.233009708737864,1.1650485436893203,1.4563106796116505,50.74626865671642,68.65671641791045,73.88059701492537,2.233009708737864,1.0091743119266054,1.262135922330097
Ola Aina,246d153b,Nottingham,Right-Back,17.6,39,26,21,2.215909090909091,1.477272727272727,1.193181818181818,49.25373134328358,91.04477611940298,46.26865671641791,2.233009708737864,1.0091743119266054,1.262135922330097
Jayden Bogle,ae5019e6,Leeds United,Right-Back,31.0,67,30,43,2.161290322580645,0.967741935483871,1.3870967741935485,47.76119402985074,47.76119402985074,68.65671641791045,2.233009708737864,1.0091743119266054,1.262135922330097
Djed Spence,9bc9a519,Tottenham,Right-Back,22.8,49,15,25,2.149122807017544,0.6578947368421052,1.0964912280701753,46.26865671641791,20.8955223880597,38.80597014925373,2.233009708737864,1.0091743119266054,1.262135922330097
Matheus Nunes,e6af02e0,Manchester City,Right-Back,31.8,67,29,41,2.1069182389937104,0.9119496855345912,1.2893081761006289,44.776119402985074,41.7910447761194,55.223880597014926,2.233009708737864,1.0091743119266054,1.262135922330097
Ben White,35e413f1,Arsenal,Right-Back,7.8,16,9,9,2.0512820512820515,1.153846153846154,1.153846153846154,43.28358208955223,67.16417910447761,41.7910447761194,2.233009708737864,1.0091743119266054,1.262135922330097
Rayan Aït-Nouri,9b398aea,Manchester City,Left-Back,10.8,22,13,21,2.0370370370370368,1.2037037037037035,1.9444444444444444,41.7910447761194,76.11940298507463,95.52238805970148,2.233009708737864,1.0091743119266054,1.262135922330097
Álex Jiménez,faa13947,Bournemouth,Right-Back,25.7,51,27,45,1.9844357976653697,1.050583657587549,1.7509727626459144,40.298507462686565,55.223880597014926,86.56716417910447,2.233009708737864,1.0091743119266054,1.262135922330097
Diogo Dalot,d9565625,Manchester Utd,Right-Back,29.0,57,26,30,1.9655172413793105,0.896551724137931,1.0344827586206895,38.80597014925373,38.80597014925373,29.850746268656714,2.233009708737864,1.0091743119266054,1.262135922330097
Aaron Wan-Bissaka,9e525177,West Ham,Right-Back,23.1,43,41,24,1.8614718614718613,1.7748917748917747,1.0389610389610389,37.3134328358209,98.50746268656717,32.83582089552239,2.233009708737864,1.0091743119266054,1.262135922330097
Destiny Udogie,7cd520e8,Tottenham,Left-Back,14.9,27,7,20,1.812080536912752,0.4697986577181208,1.342281879194631,35.82089552238806,7.462686567164178,61.19402985074627,2.233009708737864,1.0091743119266054,1.262135922330097
James Justin,fb614c44,Leeds United,Right-Back,21.1,38,26,38,1.800947867298578,1.2322274881516586,1.800947867298578,34.32835820895522,77.61194029850746,91.04477611940298,2.233009708737864,1.0091743119266054,1.262135922330097
Rico Henry,8a3c1dc7,Brentford,Left-Back,14.8,26,7,11,1.7567567567567566,0.4729729729729729,0.7432432432432432,32.83582089552239,8.955223880597014,10.44776119402985,2.233009708737864,1.0091743119266054,1.262135922330097
Kenny Tete,77d7c96f,Fulham,Right-Back,19.9,34,26,38,1.7085427135678393,1.306532663316583,1.9095477386934676,31.343283582089555,83.5820895522388,94.02985074626866,2.233009708737864,1.0091743119266054,1.262135922330097
Jurriën Timber,41034650,Arsenal,Right-Back,27.3,46,24,35,1.684981684981685,0.8791208791208791,1.282051282051282,29.850746268656714,37.3134328358209,53.73134328358209,2.233009708737864,1.0091743119266054,1.262135922330097
Michael Kayode,e19660a8,Brentford,Right-Back,36.2,56,39,47,1.5469613259668509,1.0773480662983426,1.298342541436464,28.35820895522388,61.19402985074627,56.71641791044776,2.233009708737864,1.0091743119266054,1.262135922330097
Joël Veltman,dad4b285,Brighton,Right-Back,11.8,18,19,17,1.5254237288135593,1.6101694915254237,1.4406779661016949,26.865671641791046,94.02985074626866,71.64179104477611,2.233009708737864,1.0091743119266054,1.262135922330097
Luke Shaw,9c94165b,Manchester Utd,Left-Back,35.8,54,43,45,1.5083798882681565,1.2011173184357542,1.2569832402234635,25.37313432835821,74.6268656716418,49.25373134328358,2.233009708737864,1.0091743119266054,1.262135922330097
Jake O'Brien,25f2ef01,Everton,Right-Back,34.7,49,13,32,1.4121037463976944,0.3746397694524495,0.9221902017291066,23.88059701492537,2.9850746268656714,20.8955223880597,2.233009708737864,1.0091743119266054,1.262135922330097
Marc Cucurella,1daec722,Chelsea,Left-Back,30.1,41,28,40,1.362126245847176,0.9302325581395348,1.32890365448505,22.388059701492537,44.776119402985074,58.2089552238806,2.233009708737864,1.0091743119266054,1.262135922330097
Kyle Walker-Peters,984a5a64,West Ham,Right-Back,15.4,20,9,30,1.2987012987012987,0.5844155844155844,1.948051948051948,20.8955223880597,13.432835820895523,97.01492537313433,2.233009708737864,1.0091743119266054,1.262135922330097
Nico O'Reilly,91ca4a16,Manchester City,Left-Back,29.4,38,20,36,1.2925170068027212,0.6802721088435374,1.2244897959183674,19.402985074626866,22.388059701492537,47.76119402985074,2.233009708737864,1.0091743119266054,1.262135922330097
Noussair Mazraoui,b74277a0,Manchester Utd,Right-Back,10.9,13,11,15,1.1926605504587156,1.0091743119266054,1.3761467889908257,17.91044776119403,50.74626865671642,67.16417910447761,2.233009708737864,1.0091743119266054,1.262135922330097
Riccardo Calafiori,aded8e6f,Arsenal,Left-Back,18.9,21,13,19,1.1111111111111112,0.6878306878306879,1.0052910052910051,16.417910447761194,25.37313432835821,28.35820895522388,2.233009708737864,1.0091743119266054,1.262135922330097
Adam Smith,20b104bc,Bournemouth,Right-Back,12.0,13,10,12,1.0833333333333333,0.8333333333333334,1.0,14.925373134328357,35.82089552238806,26.865671641791046,2.233009708737864,1.0091743119266054,1.262135922330097
Kyle Walker,86dd77d1,Burnley,Right-Back,34.4,37,43,32,1.0755813953488371,1.25,0.9302325581395348,13.432835820895523,79.1044776119403,22.388059701492537,2.233009708737864,1.0091743119266054,1.262135922330097
Reinildo Mandava,c20bdcd7,Sunderland,Left-Back,21.8,23,29,23,1.055045871559633,1.3302752293577982,1.055045871559633,11.940298507462686,86.56716417910447,35.82089552238806,2.233009708737864,1.0091743119266054,1.262135922330097
Matt Doherty,d557d734,Wolves,Right-Back,8.7,8,7,8,0.9195402298850576,0.8045977011494253,0.9195402298850576,10.44776119402985,32.83582089552239,19.402985074626866,2.233009708737864,1.0091743119266054,1.262135922330097
Mats Wieffer,4876c9ab,Brighton,Right-Back,21.1,17,24,43,0.8056872037914692,1.1374407582938388,2.037914691943128,8.955223880597014,64.17910447761194,98.50746268656717,2.233009708737864,1.0091743119266054,1.262135922330097
Jorrel Hato,bde35051,Chelsea,Left-Back,12.8,7,17,19,0.546875,1.328125,1.484375,7.462686567164178,85.07462686567165,76.11940298507463,2.233009708737864,1.0091743119266054,1.262135922330097
Aaron Hickey,1780bb4a,Brentford,Right-Back,7.7,4,8,7,0.5194805194805194,1.0389610389610389,0.9090909090909092,5.970149253731343,53.73134328358209,16.417910447761194,2.233009708737864,1.0091743119266054,1.262135922330097
Lutsharel Geertruida,242e1043,Sunderland,Right-Back,18.8,9,20,22,0.4787234042553191,1.0638297872340423,1.1702127659574468,4.477611940298507,59.70149253731343,43.28358208955223,2.233009708737864,1.0091743119266054,1.262135922330097
Joshua Acheampong,b7e62e1d,Chelsea,Right-Back,7.4,1,12,8,0.1351351351351351,1.6216216216216215,1.081081081081081,2.9850746268656714,95.52238805970148,37.3134328358209,2.233009708737864,1.0091743119266054,1.262135922330097
Myles Lewis-Skelly,5dff6c28,Arsenal,Left-Back,7.9,0,5,5,0.0,0.6329113924050632,0.6329113924050632,1.4925373134328357,19.402985074626866,4.477611940298507,2.233009708737864,1.0091743119266054,1.262135922330097
