Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Jeremy Doku,MFFW,Manchester City,19.8,62,12,16,fffea3e5,3.131313131313131,0.6060606060606061,0.8080808080808081
Nicolás Domínguez,MF,Nottingham,13.1,14,6,30,20b3a502,1.0687022900763359,0.4580152671755725,2.290076335877863
Gianluigi Donnarumma,GK,Manchester City,34.0,0,1,0,08f5afaa,0.0,0.029411764705882353,0.0
Patrick Dorgu,MF,Manchester Utd,16.1,57,16,30,e6536124,3.540372670807453,0.9937888198757763,1.8633540372670805
Radu Drăgușin,DF,Tottenham,5.7,3,16,3,620922ed,0.5263157894736842,2.807017543859649,0.5263157894736842
Martin Dúbravka,GK,Burnley,35.0,0,0,1,3a949a25,0.0,0.0,0.02857142857142857
Lewis Dunk,DF,Brighton,31.5,5,30,22,282f75f3,0.15873015873015872,0.9523809523809523,0.6984126984126984
Marcus Edwards,MFFW,Burnley,11.9,19,3,6,57760e66,1.5966386554621848,0.25210084033613445,0.5042016806722689
Hjalmar Ekdal,DF,Burnley,17.1,1,12,17,3d554589,0.05847953216374269,0.7017543859649122,0.9941520467836257
Hugo Ekitike,FW,Liverpool,20.0,7,4,7,5b92d896,0.35,0.2,0.35
Anthony Elanga,FWMF,Newcastle,14.7,83,3,11,2fba6108,5.646258503401361,0.20408163265306123,0.7482993197278912
Maxime Estève,DF,Burnley,32.6,6,37,27,1a066e69,0.18404907975460122,1.1349693251533741,0.8282208588957055
Evanilson,FW,Bournemouth,30.5,3,6,5,6f3cc2fe,0.09836065573770492,0.19672131147540983,0.16393442622950818
Eberechi Eze,MFFW,Arsenal,20.1,8,11,13,ae4fc6a4,0.3980099502487562,0.5472636815920398,0.6467661691542288
Bruno Fernandes,MF,Manchester Utd,34.0,181,21,35,507c7bdf,5.323529411764706,0.6176470588235294,1.0294117647058822
Mateus Fernandes,MF,West Ham,33.5,51,36,67,ef491564,1.5223880597014925,1.0746268656716418,2.0
Enzo Fernández,MF,Chelsea,34.6,89,20,24,5ff4ab71,2.5722543352601157,0.5780346820809248,0.6936416184971098
Zian Flemming,FW,Burnley,19.7,6,6,10,b3f36e72,0.30456852791878175,0.30456852791878175,0.5076142131979695
Phil Foden,MF,Manchester City,23.2,119,10,16,ed1e53f3,5.129310344827586,0.4310344827586207,0.6896551724137931
Wesley Fofana,DF,Chelsea,19.1,2,38,11,132a82f1,0.10471204188481674,1.9895287958115182,0.5759162303664921
Lyle Foster,FWMF,Burnley,15.2,6,4,12,f84a807c,0.39473684210526316,0.2631578947368421,0.7894736842105263
Jeremie Frimpong,DFMF,Liverpool,11.6,51,6,9,74f2e748,4.3965517241379315,0.5172413793103449,0.7758620689655172
